model,experiment_id,point_type,conf,fall_threshold,angle_threshold,TP,FP,TN,FN,accuracy,precision,recall,f1
yolov12n.pt,1,factorial,0.3,0.2,30.0,0,0,5,5,0.5,0,0.0,0
yolov12n.pt,2,factorial,0.3,0.2,60.0,0,0,5,5,0.5,0,0.0,0
yolov12n.pt,3,factorial,0.3,0.6,30.0,0,0,5,5,0.5,0,0.0,0
yolov12n.pt,4,factorial,0.3,0.6,60.0,0,0,5,5,0.5,0,0.0,0
yolov12n.pt,5,factorial,0.7,0.2,30.0,0,0,5,5,0.5,0,0.0,0
yolov12n.pt,6,factorial,0.7,0.2,60.0,0,0,5,5,0.5,0,0.0,0
yolov12n.pt,7,factorial,0.7,0.6,30.0,0,0,5,5,0.5,0,0.0,0
yolov12n.pt,8,factorial,0.7,0.6,60.0,0,0,5,5,0.5,0,0.0,0
yolov12n.pt,9,axial,0.28,0.4,45.0,0,0,5,5,0.5,0,0.0,0
yolov12n.pt,10,axial,0.72,0.4,45.0,0,0,5,5,0.5,0,0.0,0
yolov12n.pt,11,axial,0.5,0.18,45.0,0,0,5,5,0.5,0,0.0,0
yolov12n.pt,12,axial,0.5,0.62,45.0,0,0,5,5,0.5,0,0.0,0
yolov12n.pt,13,axial,0.5,0.4,28.5,0,0,5,5,0.5,0,0.0,0
yolov12n.pt,14,axial,0.5,0.4,61.5,0,0,5,5,0.5,0,0.0,0
yolov12n.pt,15,center,0.5,0.4,45.0,0,0,5,5,0.5,0,0.0,0
yolov12n.pt,16,center,0.5,0.4,45.0,0,0,5,5,0.5,0,0.0,0
yolov12n.pt,17,center,0.5,0.4,45.0,0,0,5,5,0.5,0,0.0,0
yolov12n1.pt,1,factorial,0.3,0.2,30.0,3,1,4,2,0.7,0.75,0.6,0.6667
yolov12n1.pt,2,factorial,0.3,0.2,60.0,2,1,4,3,0.6,0.6667,0.4,0.5
